Place,Latitude,Longitude
Phu Wiang Dinosaur Museum,16.6779164,102.2644802
Makinnee Restaurant,16.436283,102.831638
ThongGarden Restaurant,16.4195172,102.8242293
Hin Chang Si View Point,16.6526285,102.6053246
Just Me Restaurant,16.4374163,102.829639
Khon Kaen Zoo,16.8451056,102.8941093
Ubolratana Dam,16.771156,102.6170191
Mittapab Larbgoy Restaurant,16.4599968,102.8265862
Bueng Kaen Nakhon Reservoir,16.4146934,102.8356228
Kean Restaurant,16.4638854,102.8209792
Phra Mahathat Kaen Nakhon (Wat Nong Wang),16.4081492,102.8316434
Seri KaiyangKhaoSuanKwang Restaurant,16.4565961,102.8180207
Columbo Craft Village,16.4782355,102.8028287
"Ton Tan Market, Khon Kaen City",16.4170762,102.815357
The sweet gallery,16.4558773,102.8203697
Phu Kao - Phu Phan Kham National Park,16.8115463,102.6088309
Eat at home,16.4576826,102.8234991
Phu Pha Man National Park,16.7565135,101.9659105
Hello Morning,16.4612497,102.8230368
Beta House,16.4559028,102.8126448
Nam Phong National Park,16.6243762,102.5675022
City Pillar Shrine or San Lak Muang,16.4310763,102.8259128
Noodle in cycling cafe,16.461687,102.8236380
ร้านคัม ชาบู ปิ้งย่าง โคขุนโพนยางคำ ขอนแก่น,6.4393557,102.7770967
HongKong Bowl,16.4572101,102.8166094
Shiva Mahadeva Tewalai Shrine,16.4641027,102.8857485
PUI Korean BBQ Buffet,16.4595809,102.8232825
Flea Market KKU,16.4469721,102.8165546
Hin Chang Si View Point,16.6527067,102.5666996
Central Plaza KhonKean,16.432954,102.8208966
Tat Fa Waterfall,16.7906075,102.2565913
Ootoya Japanese Restaurant,16.4329642,102.8208966
น้ำตกตาดใหญ่,16.7204162,101.7790996
Nikuya Japanese BBQ Buffet,16.4325751,102.8225393
Wat Thung Setthi,16.4116885,102.8813457
Wooden house crêpe & café,16.4304332,102.8234097
Phrathat Kham Kaen,16.5634944,102.9469907
TumKratoey,16.4517675,102.7820393
Phu Wiang National Park,16.6810931,102.234537
Doso.sushi,16.4363424,102.8151601
Ba Luang Waterfall Forest Park,16.8898516,103.0841353
The Garage Coffee Time,16.4344171,102.8211426
Mekin Farm,16.4669744,102.5390834
Tata Yum & Tom Yum,16.4811094,102.8102587
Bang Saen 2 & Chomthong Beach,16.7294382,102.6240995
Chom Tawan Cliff ผาชมตะวัน,16.7892745,102.2745625
King Cobra Village,16.6943747,102.9077631
Chong Khao Khat Dam Viewpoint,17.826681,100.3918981
Wat Tham Pha Keung,16.7004472,102.2408197
Wat Ku Prapachai,16.6118405,102.9274284
Ra-bert Yum,16.4826607,102.8134903
วัดป่ากิตติญานุสรณ์,16.6383837,102.3577822
Murmurbaker เมอเมอ เบคเกอร์,16.478245,102.8028262
Akiko & Rabbit on ice,16.4799642,102.8143579
Praprai Restaurant,16.4609531,102.7830535
INAKAYA,16.4807422,102.8152983
Baan Heng,16.4341131,102.8332736
Columbo Craft Village,16.4782406,102.8028287
Good Food All Day,16.4824238,102.8135009
Khonkaen Exotic Pets and Fountain show,16.4589297,102.7904827
Infinite ' & Bristro,16.4824341,102.8135009
Pisamai,16.4806468,102.8034108
Jazz House,16.480654,102.8090262
Chef ohmt,16.478115,102.8103868
TOMU takoyaki,16.4821218,102.8135587
HummingbirdTeacup,16.480505,102.8132151
Dakota cafe​ & Co-Working Space,16.4798944,102.814549
Gindi SuShi,16.4799199,102.8068241
Larb P Keaw,16.4815377,102.7934684
De Red Brick @KKU,16.4774622,102.8221581